DEBUG: General     , 1681170763087> 172.989> LoggerManager.init                  > Initializing...
LOG  : General     , 1681170763144> 173.036> cachedir set to "C:\Users\Gabriel\Zomboid"
LOG  : General     , 1681170763268> 173.159> version=41.78.16 demo=false
LOG  : General     , 1681170763268> 173.160> revision= date= time=
LOG  : General     , 1681170763289> 173.180> server name is "configserver"
LOG  : General     , 1681170763290> 173.181> checking server WorldVersion in map_t.bin
LOG  : General     , 1681170763292> 173.183> Loading networking libraries...
LOG  : General     , 1681170763293> 173.184> Loading steam_api64...
LOG  : General     , 1681170763744> 173.636> Loading RakNet64...
LOG  : General     , 1681170763746> 173.639> Loading ZNetJNI64...
LOG  : Network     , 1681170763873> 173.764> [10-04-23 20:52:43.873] > ZNet: SetLogLevel 1
LOG  : Network     , 1681170763875> 173.766> [10-04-23 20:52:43.875] > ZNet: Compiled with SERVER_STEAMAPI == 0
LOG  : Network     , 1681170763876> 173.767> [10-04-23 20:52:43.876] > ZNet: Starting with bServer == true
LOG  : Network     , 1681170763876> 173.767> [10-04-23 20:52:43.876] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1681170763876> 173.768> SteamUtils initialised successfully
LOG  : General     , 1681170771656> 181.548> translator: language is PT
LOG  : General     , 1681170771893> 181.784> LightingFPS set to 15
LOG  : General     , 1681170771913> 181.804> reading C:\Users\Gabriel\Zomboid\Server\configserver.ini
LOG  : General     , 1681170771921> 181.813> writing C:\Users\Gabriel\Zomboid\Server\configserver.ini
LOG  : Network     , 1681170771947> 181.839> [10-04-23 20:52:51.947] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1681170772060> 181.951> [10-04-23 20:52:52.059] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1681170772061> 181.952> [10-04-23 20:52:52.061] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1681170772061> 181.953> [10-04-23 20:52:52.061] > ZNet: SetServerName 'My PZ Server'
LOG  : Network     , 1681170772062> 181.953> [10-04-23 20:52:52.062] > ZNet: SetMapName 'Muldraugh, KY'
LOG  : Network     , 1681170772062> 181.954> [10-04-23 20:52:52.062] > ZNet: SetGameTags 'hidden;hosted'
LOG  : Network     , 1681170772063> 181.954> [10-04-23 20:52:52.063] > ZNet: SetKeyValue key='description' value=''
LOG  : Network     , 1681170772063> 181.955> [10-04-23 20:52:52.063] > ZNet: SetKeyValue key='version' value='41.78.16'
LOG  : Network     , 1681170772064> 181.955> [10-04-23 20:52:52.064] > ZNet: SetKeyValue key='open' value='1'
LOG  : Network     , 1681170772064> 181.956> [10-04-23 20:52:52.064] > ZNet: SetKeyValue key='public' value='0'
LOG  : Network     , 1681170772065> 181.956> [10-04-23 20:52:52.065] > ZNet: SetKeyValue key='mods' value=''
LOG  : Network     , 1681170772065> 181.957> [10-04-23 20:52:52.065] > ZNet: SetKeyValue key='modCount' value='0'
LOG  : Network     , 1681170772066> 181.957> [10-04-23 20:52:52.065] > ZNet: SetKeyValue key='pvp' value='1'
LOG  : General     , 1681170772068> 181.960> Waiting for response from Steam servers
LOG  : Network     , 1681170774048> 183.939> [10-04-23 20:52:54.048] > ZNet: SSteamSDK -> SZombienet: OnSteamServersConnected
LOG  : Network     , 1681170774049> 183.940> [10-04-23 20:52:54.049] > ZNet: OnSteamServersConnected
LOG  : Network     , 1681170774049> 183.940> [10-04-23 20:52:54.049] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1681170774049> 183.941> [10-04-23 20:52:54.049] > ZNet: Public IP: 187.35.184.11
LOG  : General     , 1681170774128> 184.020> Start making backup to: C:\Users\Gabriel\Zomboid\backups\startup
LOG  : General     , 1681170779818> 189.709> compressionElapsed=5305ms, mergingElapsed=360ms
LOG  : General     , 1681170779844> 189.735> Backup made in 5713 ms
LOG  : General     , 1681170779850> 189.741> user database "C:\Users\Gabriel\Zomboid\db\configserver.db"
LOG  : General     , 1681170780386> 190.278> admin password changed via -adminpassword option
LOG  : General     , 1681170780387> 190.279> Router detection/configuration starting.
LOG  : General     , 1681170780388> 190.280> If the server hangs here, set UPnP=false.
LOG  : Network     , 1681170783432> 193.324> No UPnP-enabled Internet gateway found, you must configure port forwarding on your gateway manually in order to make your server accessible from the Internet.
LOG  : Network     , 1681170783433> 193.324> Initialising Server Systems...
LOG  : Lua         , 1681170784293> 194.185> Loading: media/lua/shared/Sandbox/Apocalypse.lua
LOG  : General     , 1681170785529> 195.421> scriptChecksum: 65f5e46ef1be089d5adca89001729e9c
WARN : Recipe      , 1681170785535> 195.427> RecipeManager.resolveItemModuleDotType> WARNING: module "Base" may have forgot to import module Base
WARN : Script      , 1681170785540> 195.431> ModelScript.check> no such model "null" for Base.BareHands
WARN : Script      , 1681170785541> 195.432> ModelScript.check> no such model "???.DisposableRazor" for Base.Razor
WARN : Script      , 1681170785547> 195.438> ModelScript.check> no such model "Chainsaw" for Base.Chainsaw
LOG  : General     , 1681170786637> 196.529> LOADING ASSETS: START
LOG  : General     , 1681170798230> 208.121> LOADING ASSETS: FINISH
LOG  : Lua         , 1681170798545> 208.436> Loading: media/lua/shared/a_requires.lua
LOG  : Lua         , 1681170798546> 208.437> Loading: media/lua/shared/defines.lua
LOG  : Lua         , 1681170798547> 208.438> Loading: media/lua/shared/Definitions/AttachedWeaponDefinitions.lua
LOG  : Lua         , 1681170798551> 208.443> Loading: media/lua/shared/Definitions/ClothingRecipesDefinitions.lua
LOG  : Lua         , 1681170798552> 208.444> Loading: media/lua/shared/Definitions/ClothingSelectionDefinitions.lua
LOG  : Lua         , 1681170798556> 208.447> Loading: media/lua/shared/Definitions/ContainerButtonIcons.lua
LOG  : Lua         , 1681170798574> 208.465> Loading: media/lua/shared/Definitions/DamageModelDefinitions.lua
LOG  : Lua         , 1681170798575> 208.467> Loading: media/lua/shared/Definitions/DefaultClothing.lua
LOG  : Lua         , 1681170798576> 208.467> Loading: media/lua/shared/Definitions/FitnessExercises.lua
LOG  : Lua         , 1681170798577> 208.469> Loading: media/lua/shared/Definitions/HairOutfitDefinitions.lua
LOG  : Lua         , 1681170798578> 208.469> Loading: media/lua/shared/Definitions/MakeUpDefinitions.lua
LOG  : Lua         , 1681170798581> 208.472> Loading: media/lua/shared/Definitions/MapSymbolDefinitions.lua
LOG  : Lua         , 1681170798585> 208.476> Loading: media/lua/shared/Definitions/SmashedCarDefinitions.lua
LOG  : Lua         , 1681170798587> 208.478> Loading: media/lua/shared/Definitions/UnderwearDefinition.lua
LOG  : Lua         , 1681170798588> 208.479> Loading: media/lua/shared/Fishing/fishing_properties.lua
LOG  : Lua         , 1681170798594> 208.485> Loading: media/lua/shared/Foraging/forageDefinitions.lua
LOG  : Lua         , 1681170798630> 208.521> Loading: media/lua/shared/Foraging/forageSystem.lua
LOG  : Lua         , 1681170798640> 208.532> Loading: media/lua/shared/ISBaseObject.lua
LOG  : Lua         , 1681170798641> 208.532> Loading: media/lua/shared/iwbumstempmodelcompat.lua
LOG  : Lua         , 1681170798642> 208.533> Loading: media/lua/shared/JoyPad/JoyPadSetup.lua
LOG  : Lua         , 1681170798648> 208.540> Loading: media/lua/shared/keyBinding.lua
LOG  : Lua         , 1681170798651> 208.542> Loading: media/lua/shared/Logs/ISLogSystem.lua
LOG  : Lua         , 1681170798652> 208.543> Loading: media/lua/shared/Logs/ISPerkLog.lua
LOG  : Lua         , 1681170798654> 208.545> Loading: media/lua/shared/luautils.lua
LOG  : Lua         , 1681170798656> 208.548> Loading: media/lua/shared/NPCs/AttachedLocations.lua
LOG  : Lua         , 1681170798659> 208.550> Loading: media/lua/shared/NPCs/BodyLocations.lua
LOG  : Lua         , 1681170798667> 208.558> Loading: media/lua/shared/NPCs/MainCreationMethods.lua
LOG  : Lua         , 1681170798691> 208.582> Loading: media/lua/shared/NPCs/ZombiesZoneDefinition.lua
LOG  : Lua         , 1681170798694> 208.585> Loading: media/lua/shared/RecordedMedia/ISRecordeMedia.lua
LOG  : Lua         , 1681170798695> 208.586> Loading: media/lua/shared/RecordedMedia/recorded_media.lua
LOG  : Lua         , 1681170798757> 208.649> Loading: media/lua/shared/Reloading/ISRackAction.lua
LOG  : Lua         , 1681170798758> 208.649> Loading: media/lua/shared/TimedActions/ISBaseTimedAction.lua
LOG  : Lua         , 1681170798759> 208.651> Loading: media/lua/shared/Reloading/ISReloadable.lua
LOG  : Lua         , 1681170798762> 208.653> Loading: media/lua/shared/Reloading/ISReloadableMagazine.lua
LOG  : Lua         , 1681170798763> 208.654> Loading: media/lua/shared/Reloading/ISReloadableWeapon.lua
LOG  : Lua         , 1681170798764> 208.655> Loading: media/lua/shared/Reloading/ISReloadAction.lua
LOG  : Lua         , 1681170798765> 208.656> Loading: media/lua/shared/Reloading/ISReloadManager.lua
LOG  : Lua         , 1681170798767> 208.658> Loading: media/lua/shared/Reloading/ISReloadUtil.lua
LOG  : Lua         , 1681170798768> 208.660> Loading: media/lua/shared/Reloading/ISSemiAutoWeapon.lua
LOG  : Lua         , 1681170798770> 208.662> Loading: media/lua/shared/Reloading/ISShotgunWeapon.lua
LOG  : Lua         , 1681170798773> 208.664> Loading: media/lua/shared/Reloading/ISRevolverWeapon.lua
LOG  : Lua         , 1681170798774> 208.665> Loading: media/lua/shared/Reloading/stormysReload.lua
LOG  : Lua         , 1681170798775> 208.667> Loading: media/lua/shared/Sandbox/Beginner.lua
LOG  : Lua         , 1681170798776> 208.667> Loading: media/lua/shared/Sandbox/Builder.lua
LOG  : Lua         , 1681170798777> 208.668> Loading: media/lua/shared/Sandbox/FirstWeek.lua
LOG  : Lua         , 1681170798778> 208.669> Loading: media/lua/shared/Sandbox/SandboxVars.lua
LOG  : Lua         , 1681170798778> 208.669> Loading: media/lua/shared/Sandbox/Survival.lua
LOG  : Lua         , 1681170798779> 208.670> Loading: media/lua/shared/Sandbox/SixMonthsLater.lua
LOG  : Lua         , 1681170798780> 208.671> Loading: media/lua/shared/Sandbox/Survivor.lua
LOG  : Lua         , 1681170798781> 208.672> Loading: media/lua/shared/SoundBanks/SoundBanks.lua
LOG  : Lua         , 1681170798783> 208.675> Loading: media/lua/shared/SpawnRegions.lua
LOG  : Lua         , 1681170798784> 208.676> Loading: media/lua/shared/StashDescriptions/LouisvilleStashDesc.lua
LOG  : Lua         , 1681170798786> 208.677> Loading: media/lua/shared/StashDescriptions/StashUtil.lua
LOG  : Lua         , 1681170798787> 208.678> Loading: media/lua/shared/StashDescriptions/MarchRidgeStashDesc.lua
LOG  : Lua         , 1681170798789> 208.680> Loading: media/lua/shared/StashDescriptions/MulStashDesc.lua
LOG  : Lua         , 1681170798792> 208.683> Loading: media/lua/shared/StashDescriptions/RiversideStashDesc.lua
LOG  : Lua         , 1681170798794> 208.685> Loading: media/lua/shared/StashDescriptions/RosewoodStashDesc.lua
LOG  : Lua         , 1681170798795> 208.687> Loading: media/lua/shared/StashDescriptions/WpStashDesc.lua
LOG  : Lua         , 1681170798798> 208.689> Loading: media/lua/shared/Util/AdjacentFreeTileFinder.lua
LOG  : Lua         , 1681170798801> 208.692> Loading: media/lua/shared/Util/BuildingHelper.lua
LOG  : Lua         , 1681170798801> 208.693> Loading: media/lua/shared/Util/ISPriorityTable.lua
LOG  : Lua         , 1681170798803> 208.694> Loading: media/lua/shared/Util/LuaList.lua
LOG  : Lua         , 1681170798804> 208.695> Loading: media/lua/shared/Util/LuaNet.lua
LOG  : Lua         , 1681170798806> 208.697> Loading: media/lua/shared/Util/StringReplacer.lua
LOG  : Lua         , 1681170798807> 208.698> Loading: media/lua/shared/VehicleZoneDefinition.lua
